"Yard.Code","area","back_area_ha","back_perimeter_m","diagonal_1_m","diagonal_2_m","short_radius_m","long_radius_m","lat","long","utm_zone","utm_easting","utm_northing","shrub","tree","density","mean_dbh","n_fruiting_plants","SR_total","SR_mig_2024","SR_mig_2025","SR_mig","SR_breed_2024","SR_breed_2025","SR_breed"
"Y03",0.036,0.025,63,22,23,8,12,45.45522,-73.64425,18,606004,5034416,10,1,305.555555555556,5.9025974025974,0,9,3,6,8,4,2,4
"Y18",0.035,0.023,61,21,22,7,11,45.45611,-73.64467,18,605970,5034514,17,13,857.142857142857,21.0333333333333,1,27,9,16,23,7,4,10
"Y28",0.023,0.017,53,18,19,6,9,45.45695,-73.64222,18,606160,5034610,3,2,217.391304347826,30.05,0,16,2,14,15,4,2,4
"Y31",0.021,0.012,44,16,16,5,8,45.45683,-73.64613,18,605854,5034592,2,4,285.714285714286,31.1666666666667,0,9,0,7,7,5,1,5
"Y44",0.015,0.013,47,17,17,5,9,45.45869,-73.64452,18,605977,5034801,3,2,333.333333333333,24.2428571428571,1,6,1,3,4,1,1,2
"Y05",0.036,0.028,67,24,24,8,12,45.45684,-73.64661,18,605817,5034592,3,4,194.444444444444,28.7142857142857,0,6,4,4,6,2,2,3
"Y07",0.028,0.018,54,20,19,6,10,45.45973,-73.64753,18,605739,5034912,0,1,35.7142857142857,18,1,5,0,1,1,4,1,4
"Y20",0.027,0.01,42,15,15,4,8,45.45651,-73.64796,18,605712,5034554,6,2,296.296296296296,4.29166666666667,0,6,3,2,5,3,0,3
"Y32",0.023,0.008,36,13,13,3,7,45.46159,-73.64083,18,606260,5035128,5,2,304.347826086957,9.57142857142857,0,5,2,1,2,4,3,5
"Y45",0.02,0.01,43,16,16,4,8,45.46106,-73.63924,18,606385,5035071,2,5,350,10.7142857142857,0,3,1,1,2,1,3,3
"Y13",0.033,0.024,66,25,25,5,13,45.46264,-73.63638,18,606606,5035250,19,6,757.575757575758,11.9007142857143,0,13,5,11,13,2,1,2
"Y47",0.022,0.012,44,16,16,5,8,45.4659,-73.6353,18,606684,5035614,6,4,454.545454545455,18.625,1,13,2,8,9,5,2,7
"Y50",0.024,0.017,53,19,19,6,9,45.46545,-73.64377,18,606023,5035553,2,2,166.666666666667,30,0,8,NA,8,8,NA,1,1
"Y06",0.021,0.012,45,16,16,6,8,45.46962,-73.64567,18,605866,5036013,1,4,238.095238095238,7.2,1,4,0,0,0,3,1,4
"Y26",0.034,0.019,55,20,20,6,10,45.46607,-73.64294,18,606086,5035623,0,4,117.647058823529,17,0,6,2,2,3,5,3,6
"Y27",0.012,0.01,41,15,15,3,8,45.46766,-73.61857,18,607988,5035832,0,1,83.3333333333333,106,0,6,1,3,3,4,0,4
"Y33",0.025,0.017,52,18,18,6,9,45.46423,-73.62443,18,607537,5035443,4,3,280,15.5731292517007,0,9,4,2,5,6,0,6
"Y04",0.021,0.025,64,23,23,7,12,45.47319,-73.63032,18,607059,5036430,1,19,952.380952380952,25.45,0,6,0,5,5,2,0,2
"Y24",0.025,0.016,51,18,18,6,9,45.47503,-73.63509,18,606683,5036628,5,7,480,16.25,2,4,1,3,3,2,1,3
"Y09",0.016,0.002,20,7,8,2,4,45.47685,-73.62441,18,607514,5036845,4,2,375,13.1666666666667,0,2,1,1,2,1,1,2
"Y49",0.013,0.008,37,13,13,3,7,45.47218,-73.61609,18,608174,5036337,5,2,538.461538461538,17.0714285714286,0,8,5,4,8,2,5,5
"Y25",0.014,0.008,36,13,13,4,6,45.47424,-73.62586,18,607406,5036553,2,2,285.714285714286,23.25,0,4,1,NA,1,3,NA,3
